
Category,Problem,Expected,Solver,Classification
Trigonometry,tan(pi/3),√3,1.7321,Correct
Trigonometry,sin(0),0,0,Correct
Trigonometry,cos(0),1,1,Correct
Trigonometry,tan(0),0,0,Correct
Trigonometry,sin(pi),0,0,Correct
Trigonometry,cos(pi),-1,-1,Correct
Trigonometry,tan(pi),0,0,Correct
Trigonometry,sec(pi/3),2,2,Correct
Trigonometry,csc(pi/2),1,1,Correct
Trigonometry,sin(pi/3)^2 + cos(pi/3)^2,1,1,Correct
Trigonometry,sin(pi/6)/cos(pi/6),1/√3,0.5774,Correct
Trigonometry,sin(x)^2 + cos(x)^2,1,Unable to evaluate,Incorrect
Trigonometry,sin(-pi/4),-√2/2,-0.7071,Correct
Functions,x^2 - 4x + 3,"vertex at (2,-1); zeros x=1,3","vertex near (2,-1); zeros near 1,3; final f(x)=x^2-4x+3",Correct
Functions,1/(x-2),vertical asymptote x=2; no x-intercepts,"vertex near (1.5,-2); x-intercepts near -10,-9.5,-9; final f(x)=1/(x-2)",Incorrect
Functions,sqrt(x-3),"domain x>=3; starting point (3,0)","vertex near (6.5,1.87); x-intercept near x=3",Incorrect
Functions,ln(x),"domain x>0; x-intercept at (1,0)",no x-intercepts found,Incorrect
Functions,abs(x),"vertex at (0,0); x-intercept at 0","vertex near (0,0); x-intercept near 0",Correct
Functions,x^3 - x,"zeros at -1,0,1; inflection at 0","x-intercepts near -1,0,1; vertex near (-0.5,0.375)",Partially Correct
Functions,sin(x),periodic; maxima at π/2; zeros at multiples of π,"x-intercepts near -10, 0, 9.5; vertex near (-1.5,-0.9975)",Partially Correct
Functions,exp(x),"no zeros; increasing; intercept at (0,1)","vertex near (-1.5,0.2231); x-intercepts near -10,-9.5,-9",Incorrect
Functions,log(x^2),domain x≠0; zeros at x=±1; no extrema,"vertex near (-0.5,-1.3863); x-intercepts near -1,1",Incorrect
Functions,1/(x^2),vertical asymptote x=0; no x-intercepts,"vertex near (-0.5,4); x-intercepts near -10,-9.5,-9",Incorrect
Arithmetic,25 + 30,55,55,Correct
Arithmetic,5 - 8 * 2,-11,-11,Correct
Arithmetic,(4 + 5) / (3 - 1),4.5,4.5,Correct
Arithmetic,7!,5040,7,Incorrect
Arithmetic,"C(5,2)",10,Unable to evaluate,Incorrect
Arithmetic,100 % 3,1,1,Correct
Arithmetic,sqrt(64),8,8,Correct
Arithmetic,3^4,81,81,Correct
Arithmetic,0.1 + 0.2,0.3,0.3,Correct
Arithmetic,2/3 + 1/6,0.8333...,0.8333,Correct
Arithmetic,2^10,1024,1024,Correct
